颅顶点 x,颅顶点 y,颅顶点 z,第七颈椎 x,第七颈椎 y,第七颈椎 z,胸骨下点 x,胸骨下点 y,胸骨下点 z,脐点 x,脐点 y,脐点 z,耻骨 x,耻骨 y,耻骨 z,左肩峰 x,左肩峰 y,左肩峰 z,左肘 x,左肘 y,左肘 z,左腕 x,左腕 y,左腕 z,左中指尖 x,左中指尖 y,左中指尖 z,左髋 x,左髋 y,左髋 z,左膝 x,左膝 y,左膝 z,左踝 x,左踝 y,左踝 z,左足跟 x,左足跟 y,左足跟 z,左趾尖 x,左趾尖 y,左趾尖 z,右肩峰 x,右肩峰 y,右肩峰 z,右肘 x,右肘 y,右肘 z,右腕 x,右腕 y,右腕 z,右中指尖 x,右中指尖 y,右中指尖 z,右髋 x,右髋 y,右髋 z,右膝 x,右膝 y,右膝 z,右踝 x,右踝 y,右踝 z,右足跟 x,右足跟 y,右足跟 z,右趾尖 x,右趾尖 y,右趾尖 z,重心 x,重心 y,重心 z,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3324.3,1344.2,308.0,3376.6,1378.7,156.3,3404.3,1420.2,3.9,3376.5,1403.8,-20.0,3483.4,1477.8,9.7,0,0,0,0,0,0,0,0,0,0,0,0,3371.6,1277.5,315.0,3239.5,1205.8,92.0,3129.5,1123.1,-85.1,3067.8,1101.3,-106.5,3197.9,1190.7,-93.7,-422.0,-165.5,-85.9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3329.2,1347.9,308.7,3380.7,1381.7,157.0,3409.0,1423.9,5.7,3380.1,1406.5,-19.1,3488.8,1481.8,11.8,0,0,0,0,0,0,0,0,0,0,0,0,3373.4,1279.5,313.9,3239.4,1205.7,91.0,3129.4,1123.0,-85.2,3067.8,1101.3,-106.5,3197.9,1190.7,-93.7,-422.5,-165.9,-85.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3334.0,1351.6,309.4,3384.5,1384.3,157.5,3412.5,1426.9,7.0,3382.4,1408.1,-18.9,3492.9,1484.9,12.9,0,0,0,0,0,0,0,0,0,0,0,0,3376.0,1282.2,313.1,3239.8,1206.0,90.5,3129.4,1123.0,-85.2,3067.8,1101.3,-106.5,3197.9,1190.8,-93.7,-423.2,-166.5,-85.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338.6,1355.5,310.1,3387.7,1386.4,157.7,3415.2,1429.1,7.8,3383.8,1408.9,-19.4,3495.8,1487.0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,3379.7,1285.8,312.8,3241.1,1207.0,90.6,3129.6,1123.1,-85.0,3067.8,1101.3,-106.5,3197.8,1190.8,-93.8,-424.1,-167.3,-85.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3343.0,1359.6,310.7,3390.0,1387.8,157.6,3416.9,1430.7,8.0,3384.8,1409.1,-20.6,3497.8,1488.6,12.0,0,0,0,0,0,0,0,0,0,0,0,0,3384.5,1290.3,313.0,3243.4,1208.9,91.3,3130.1,1123.5,-84.8,3067.8,1101.3,-106.6,3197.7,1190.9,-93.9,-425.1,-168.3,-85.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3347.2,1363.8,311.1,3391.4,1388.4,157.1,3417.9,1431.6,7.6,3385.4,1408.8,-22.2,3499.4,1489.8,10.3,0,0,0,0,0,0,0,0,0,0,0,0,3390.0,1295.3,313.7,3247.0,1211.9,92.5,3131.0,1124.1,-84.2,3067.8,1101.3,-106.7,3197.6,1191.0,-94.0,-426.2,-169.3,-85.9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351.1,1368.0,311.5,3392.0,1388.4,156.5,3418.2,1432.0,6.5,3385.8,1408.3,-23.9,3500.8,1491.1,8.3,0,0,0,0,0,0,0,0,0,0,0,0,3395.5,1300.2,314.5,3251.9,1215.9,94.2,3132.4,1125.1,-83.4,3067.8,1101.3,-106.8,3197.4,1191.1,-94.3,-427.4,-170.4,-86.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3354.6,1372.0,311.8,3391.9,1387.9,155.8,3418.1,1432.1,4.9,3386.1,1407.7,-25.4,3502.1,1492.5,6.5,0,0,0,0,0,0,0,0,0,0,0,0,3400.6,1304.7,315.4,3257.5,1220.5,96.1,3134.2,1126.4,-82.4,3067.9,1101.2,-107.0,3197.2,1191.3,-94.5,-428.4,-171.4,-86.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3357.7,1375.5,312.2,3391.7,1387.3,155.2,3417.7,1432.0,3.1,3386.3,1407.1,-26.6,3503.4,1494.2,4.9,0,0,0,0,0,0,0,0,0,0,0,0,3405.2,1308.6,316.3,3262.9,1225.0,97.9,3136.3,1127.9,-81.2,3068.0,1101.0,-107.2,3197.0,1191.4,-94.8,-429.3,-172.3,-86.7,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3360.2,1378.5,312.6,3391.7,1386.9,154.8,3417.4,1431.7,1.3,3386.4,1406.7,-27.6,3504.5,1495.9,3.7,0,0,0,0,0,0,0,0,0,0,0,0,3409.3,1312.2,317.1,3267.6,1229.0,99.4,3138.3,1129.3,-80.1,3068.2,1100.8,-107.4,3196.8,1191.5,-95.1,-430.1,-173.1,-86.9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3362.0,1380.8,312.9,3392.7,1387.3,154.8,3417.1,1431.4,-0.2,3386.4,1406.4,-28.3,3505.5,1497.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,3413.1,1315.5,318.0,3271.6,1232.4,100.6,3140.1,1130.6,-79.2,3068.4,1100.5,-107.5,3196.7,1191.5,-95.3,-430.8,-173.8,-87.2,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363.1,1382.3,313.1,3395.3,1389.1,155.5,3416.8,1431.2,-1.3,3386.4,1406.2,-28.9,3506.0,1498.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3417.0,1318.9,318.9,3275.6,1235.9,101.7,3141.4,1131.6,-78.5,3068.8,1100.2,-107.3,3196.7,1191.6,-95.4,-431.4,-174.4,-87.4,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363.7,1383.1,313.2,3400.4,1393.1,156.9,3416.7,1431.1,-1.9,3386.4,1406.0,-29.5,3506.1,1498.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3420.9,1322.5,319.8,3280.6,1240.3,102.8,3142.2,1132.2,-78.1,3069.3,1099.9,-106.8,3196.6,1191.6,-95.5,-432.2,-175.1,-87.6,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363.9,1383.4,313.3,3408.7,1399.7,159.4,3416.7,1431.0,-2.1,3386.3,1405.9,-30.3,3505.8,1498.4,-1.6,0,0,0,0,0,0,0,0,0,0,0,0,3425.1,1326.4,320.8,3287.3,1246.2,104.3,3142.7,1132.6,-77.9,3069.9,1099.5,-105.9,3196.7,1191.6,-95.5,-433.0,-175.9,-87.8,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363.8,1383.4,313.3,3420.1,1409.0,162.9,3416.7,1430.9,-2.2,3386.3,1405.8,-31.2,3505.1,1497.8,-3.4,0,0,0,0,0,0,0,0,0,0,0,0,3429.4,1330.6,321.9,3296.1,1254.1,106.2,3142.8,1132.8,-77.8,3070.6,1099.0,-104.5,3196.7,1191.6,-95.5,-434.0,-176.8,-88.1,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3363.5,1383.2,313.3,3433.5,1419.9,167.0,3416.7,1430.9,-2.1,3386.2,1405.7,-32.2,3504.3,1497.1,-5.1,0,0,0,0,0,0,0,0,0,0,0,0,3433.9,1335.0,323.0,3306.3,1263.2,108.4,3142.9,1132.8,-77.9,3071.5,1098.5,-102.8,3196.7,1191.5,-95.5,-435.0,-177.8,-88.4,
