timestamps,x,y,z,Unnamed: 4,Unnamed: 5,Unnamed: 6
2019-08-06 10:25:52.760,-0.3948,0.7083,0.5924,0,0,31.6
2019-08-06 10:25:52.780,-0.4738,0.7593,0.5646,0,0,31.6
2019-08-06 10:25:52.800,-0.1934,0.7162,0.7038,0,0,31.6
2019-08-06 10:25:52.820,-0.4106,0.6456,0.6203,0,0,31.6
2019-08-06 10:25:52.840,-0.308,0.6966,0.5765,0,0,31.6
2019-08-06 10:25:52.860,-0.541,0.7554,0.5845,0,0,31.6
2019-08-06 10:25:52.880,-0.3356,0.6143,0.5686,0,0,31.6
2019-08-06 10:25:52.900,-0.1618,0.5672,0.7435,0,0,31.6
2019-08-06 10:25:52.920,-0.5686,0.8299,0.5089,0,0,31.6
2019-08-06 10:25:52.940,-0.3316,0.7475,0.6004,0,0,31.6
2019-08-06 10:25:52.960,-0.3751,0.7397,0.664,0,0,31.6
2019-08-06 10:25:52.980,-0.2961,0.5751,0.5725,0,0,31.6
2019-08-06 10:25:53.000,-0.3632,0.6927,0.7157,0,0,31.6
2019-08-06 10:25:53.020,-0.5449,0.5045,0.7913,0,0,31.6
2019-08-06 10:25:53.040,-0.537,0.528,0.6322,0,0,31.6
2019-08-06 10:25:53.060,-0.379,0.5123,0.5049,0,0,31.6
2019-08-06 10:25:53.080,-0.3869,0.6143,0.6123,0,0,31.6
2019-08-06 10:25:53.100,-0.4106,0.4496,0.8111,0,0,31.6
2019-08-06 10:25:53.120,-0.2092,0.5947,0.7435,0,0,31.6
2019-08-06 10:25:53.140,-0.2527,0.4457,0.6322,0,0,31.6
2019-08-06 10:25:53.160,-0.2764,0.4888,0.8072,0,0,31.6
2019-08-06 10:25:53.180,-0.22899999999999998,0.5751,0.9225,0,0,31.6
2019-08-06 10:25:53.200,-0.4699,0.5751,0.5288,0,0,31.6
2019-08-06 10:25:53.220,-0.3988,0.5711,0.7038,0,0,31.6
2019-08-06 10:25:53.240,-0.379,0.5123,0.6879,0,0,31.6
2019-08-06 10:25:53.260,-0.4659,0.5751,0.7515,0,0,31.6
2019-08-06 10:25:53.280,-0.5212,0.528,0.6004,0,0,31.6
2019-08-06 10:25:53.300,-0.5449,0.5515,0.5407,0,0,31.6
2019-08-06 10:25:53.320,-0.6476,0.6143,0.6242,0,0,31.6
2019-08-06 10:25:53.340,-0.5567,0.7162,0.5765,0,0,31.6
2019-08-06 10:25:53.360,-0.4541,0.7554,0.5964,0,0,31.6
2019-08-06 10:25:53.380,-0.5252,0.7083,0.7833,0,0,31.6
2019-08-06 10:25:53.400,-0.5054,0.5437,0.4254,0,0,31.6
2019-08-06 10:25:53.420,-0.7818,0.5829,0.3817,0,0,31.6
2019-08-06 10:25:53.440,-0.8292,0.23399999999999999,0.2146,0,0,31.6
2019-08-06 10:25:53.460,-0.2487,0.9122,1.0617,0,0,31.6
2019-08-06 10:25:53.480,-0.3751,0.7358,0.5964,0,0,31.6
2019-08-06 10:25:53.500,-0.5291,0.6182,0.4055,0,0,31.6
2019-08-06 10:25:53.520,-0.1342,0.7867,0.6481,0,0,31.6
2019-08-06 10:25:53.540,-0.45799999999999996,0.7593,0.5129,0,0,31.6
2019-08-06 10:25:53.560,-0.3001,0.8338,0.7674,0,0,31.6
2019-08-06 10:25:53.580,-0.7305,0.6809,0.3737,0,0,31.6
2019-08-06 10:25:53.600,-0.5449,0.8808,0.2186,0,0,31.6
2019-08-06 10:25:53.620,-0.5686,0.7946,0.3697,0,0,31.6
2019-08-06 10:25:53.640,-0.5054,0.7828,0.501,0,0,31.6
2019-08-06 10:25:53.660,-0.5212,0.7358,0.4254,0,0,31.6
2019-08-06 10:25:53.680,-0.6002,0.6064,0.5288,0,0,31.6
2019-08-06 10:25:53.700,-0.9991,1.1043,-0.5807,0,0,31.6
2019-08-06 10:25:53.720,-0.1776,0.6652,0.7634,0,0,31.6
2019-08-06 10:25:53.740,-0.1697,0.5359,0.7117,0,0,31.6
2019-08-06 10:25:53.760,-0.22899999999999998,0.9357,0.8947,0,0,31.6
2019-08-06 10:25:53.780,-0.5528,0.4614,0.3697,0,0,31.6
2019-08-06 10:25:53.800,-0.6081,0.1674,0.326,0,0,31.6
2019-08-06 10:25:53.820,-0.3001,0.6378,0.66,0,0,31.6
2019-08-06 10:25:53.840,-0.2448,0.6574,0.5527,0,0,31.6
2019-08-06 10:25:53.860,-0.1539,0.4496,0.3101,0,0,31.6
